borrower_id,age,state,annual_income,employment_status,housing_status,dti_ratio,years_at_current_residence,credit_history_years,fico_score,fico_band
BOR100034,60,GA,71900.0,Full-time,Mortgage,33.6,0.3,39,557,Poor (<620)
BOR100035,31,TN,45600.0,Full-time,Mortgage,40.0,2.0,10,685,Good (680-739)
BOR100036,71,NC,75700.0,Full-time,Rent,45.3,4.7,48,713,Good (680-739)
BOR100037,35,FL,47500.0,Full-time,Own,33.2,1.0,17,721,Good (680-739)
BOR100038,65,FL,70800.0,Full-time,Mortgage,33.5,2.6,44,688,Good (680-739)
BOR100039,65,UT,40700.0,Full-time,Rent,34.0,0.3,42,551,Poor (<620)
BOR100040,20,MS,95600.0,Retired,Other,42.1,1.6,1,763,Very Good (740-799)
BOR100041,59,MD,57600.0,Part-time,Mortgage,18.3,2.7,43,707,Good (680-739)
BOR100042,38,OH,32800.0,Full-time,Mortgage,32.2,10.4,16,602,Poor (<620)
BOR100043,34,UT,61600.0,Full-time,Rent,36.0,1.2,16,629,Fair (620-679)
BOR100044,47,MN,47200.0,Full-time,Rent,13.1,2.7,31,695,Good (680-739)
BOR100045,29,MD,42600.0,Self-employed,Rent,41.2,5.1,6,724,Good (680-739)
BOR100046,47,NJ,48700.0,Self-employed,Rent,42.8,3.0,28,648,Fair (620-679)
BOR100047,30,OH,65400.0,Full-time,Rent,12.5,4.2,8,734,Good (680-739)
BOR100048,43,FL,18000.0,Retired,Mortgage,27.9,0.8,25,563,Poor (<620)
BOR100049,57,MS,39800.0,Full-time,Rent,28.2,0.9,41,612,Poor (<620)
BOR100050,46,NJ,63400.0,Full-time,Mortgage,23.1,8.6,26,546,Poor (<620)
BOR100051,37,PA,52100.0,Full-time,Rent,24.5,5.6,19,622,Fair (620-679)
BOR100052,47,GA,28100.0,Full-time,Rent,26.8,6.7,26,778,Very Good (740-799)
BOR100053,24,MA,18000.0,Full-time,Rent,38.1,0.3,3,814,Exceptional (800+)
BOR100054,31,PA,100200.0,Full-time,Mortgage,44.5,5.2,9,695,Good (680-739)
BOR100055,36,LA,42900.0,Full-time,Rent,37.5,1.3,16,639,Fair (620-679)
BOR100056,50,CO,92200.0,Full-time,Mortgage,22.9,1.4,29,666,Fair (620-679)
BOR100057,46,MD,66700.0,Retired,Mortgage,39.9,1.2,23,711,Good (680-739)
BOR100058,47,NJ,32600.0,Part-time,Rent,38.0,0.5,24,578,Poor (<620)
BOR100059,41,TN,18000.0,Part-time,Mortgage,5.0,2.5,19,643,Fair (620-679)
BOR100060,32,MA,37900.0,Self-employed,Mortgage,44.4,0.9,11,773,Very Good (740-799)
BOR100061,59,IN,45900.0,Part-time,Mortgage,33.3,1.8,38,612,Poor (<620)
BOR100062,33,TX,57100.0,Full-time,Rent,33.7,0.3,11,631,Fair (620-679)
BOR100063,46,NJ,28300.0,Retired,Mortgage,14.6,2.0,26,681,Good (680-739)
BOR100064,40,TX,50500.0,Full-time,Rent,48.1,0.3,20,698,Good (680-739)
BOR100065,48,WA,50500.0,Full-time,Other,35.4,4.9,25,639,Fair (620-679)
BOR100066,34,NC,72700.0,Self-employed,Own,39.8,7.1,12,685,Good (680-739)
BOR100067,54,NY,40600.0,Full-time,Mortgage,18.8,2.5,34,720,Good (680-739)
BOR100068,58,FL,56900.0,Full-time,Rent,37.1,7.2,38,807,Exceptional (800+)
BOR100069,53,MA,53100.0,Self-employed,Rent,37.3,1.0,37,672,Fair (620-679)
BOR100070,43,PA,69100.0,Full-time,Mortgage,30.4,4.3,24,677,Fair (620-679)
BOR100071,36,MS,32200.0,Full-time,Own,19.1,0.8,15,779,Very Good (740-799)
BOR100072,75,MA,18000.0,Retired,Rent,31.4,0.3,55,644,Fair (620-679)
BOR100073,29,NC,41900.0,Self-employed,Rent,22.4,4.2,9,594,Poor (<620)
BOR100074,52,MA,42000.0,Self-employed,Mortgage,25.0,6.4,33,696,Good (680-739)
BOR100075,45,CA,27700.0,Full-time,Rent,43.6,3.5,23,750,Very Good (740-799)
BOR100076,40,UT,23700.0,Self-employed,Mortgage,32.9,3.2,22,703,Good (680-739)
BOR100077,43,VA,36000.0,Full-time,Mortgage,31.2,10.1,24,674,Fair (620-679)
BOR100078,35,MN,44300.0,Part-time,Own,20.2,5.6,18,586,Poor (<620)
BOR100079,46,TX,48700.0,Full-time,Rent,31.5,0.5,29,676,Fair (620-679)
BOR100080,45,WA,18000.0,Full-time,Rent,30.5,6.3,25,760,Very Good (740-799)
BOR100081,73,WA,21200.0,Full-time,Own,22.2,0.2,52,600,Poor (<620)
BOR100082,54,MS,77500.0,Retired,Rent,42.9,5.8,34,664,Fair (620-679)
BOR100083,47,MA,42800.0,Full-time,Mortgage,42.4,1.9,24,655,Fair (620-679)
BOR100084,48,VA,46600.0,Full-time,Mortgage,24.3,0.2,27,635,Fair (620-679)
BOR100085,63,OH,25600.0,Full-time,Own,36.0,7.3,47,696,Good (680-739)
BOR100086,29,NC,46500.0,Full-time,Rent,13.5,4.2,9,709,Good (680-739)
BOR100087,39,WA,39400.0,Full-time,Other,35.2,4.0,22,708,Good (680-739)
BOR100088,19,NJ,35300.0,Self-employed,Own,39.8,0.1,3,617,Poor (<620)
BOR100089,48,CA,24200.0,Full-time,Mortgage,20.8,0.7,31,573,Poor (<620)
BOR100090,51,NV,31500.0,Full-time,Mortgage,32.2,2.0,29,697,Good (680-739)
BOR100091,29,LA,113300.0,Full-time,Rent,33.3,0.5,12,647,Fair (620-679)
BOR100092,58,NY,39800.0,Full-time,Mortgage,60.9,0.0,35,799,Very Good (740-799)
BOR100093,32,AZ,66500.0,Full-time,Other,57.8,1.7,12,802,Exceptional (800+)
BOR100094,37,FL,42700.0,Full-time,Rent,35.2,0.5,19,809,Exceptional (800+)
BOR100095,42,MO,40500.0,Full-time,Rent,25.4,11.7,26,619,Poor (<620)
BOR100096,60,GA,35000.0,Full-time,Own,34.4,4.8,42,717,Good (680-739)
BOR100097,31,IN,85400.0,Full-time,Mortgage,43.3,5.1,8,737,Good (680-739)
BOR100098,44,MD,55200.0,Full-time,Rent,15.3,2.9,25,729,Good (680-739)
BOR100099,50,MN,32700.0,Full-time,Rent,11.1,3.3,33,657,Fair (620-679)
BOR100100,48,FL,39100.0,Full-time,Rent,20.5,2.6,25,763,Very Good (740-799)
BOR100101,48,MS,75700.0,Full-time,Rent,39.6,0.4,32,680,Good (680-739)
BOR100102,50,IL,18000.0,Full-time,Rent,40.2,7.6,31,688,Good (680-739)
BOR100103,34,CA,53600.0,Full-time,Mortgage,36.4,3.5,16,580,Poor (<620)
BOR100104,61,AZ,59400.0,Full-time,Rent,43.1,2.3,42,722,Good (680-739)
BOR100105,40,NC,33300.0,Self-employed,Mortgage,30.2,3.7,21,663,Fair (620-679)
BOR100106,38,NV,50000.0,Full-time,Rent,29.3,2.5,19,710,Good (680-739)
BOR100107,57,NV,58500.0,Retired,Rent,35.9,6.7,35,695,Good (680-739)
BOR100108,33,GA,26800.0,Full-time,Mortgage,49.1,1.5,17,692,Good (680-739)
BOR100109,45,UT,68100.0,Part-time,Own,36.1,0.5,25,677,Fair (620-679)
BOR100110,32,GA,53300.0,Unemployed,Mortgage,31.0,2.3,12,731,Good (680-739)
BOR100111,71,WA,43500.0,Full-time,Mortgage,36.0,1.8,48,667,Fair (620-679)
BOR100112,69,OH,48900.0,Full-time,Mortgage,46.2,15.9,46,585,Poor (<620)
BOR100113,40,MS,64100.0,Full-time,Own,28.4,3.8,21,717,Good (680-739)
BOR100114,47,PA,132200.0,Full-time,Mortgage,27.5,2.6,27,627,Fair (620-679)
BOR100115,41,TX,61400.0,Self-employed,Mortgage,27.3,1.9,25,594,Poor (<620)
BOR100116,37,NJ,67200.0,Full-time,Own,40.2,7.7,15,614,Poor (<620)
BOR100117,42,NH,50900.0,Self-employed,Rent,24.2,4.9,19,698,Good (680-739)
BOR100118,41,LA,109700.0,Self-employed,Mortgage,38.4,0.8,19,674,Fair (620-679)
BOR100119,23,CO,24100.0,Full-time,Rent,17.3,0.8,3,541,Poor (<620)
BOR100120,44,LA,21300.0,Full-time,Rent,29.4,1.3,22,655,Fair (620-679)
BOR100121,40,LA,50000.0,Self-employed,Rent,31.4,1.5,20,756,Very Good (740-799)
BOR100122,45,WA,62800.0,Full-time,Rent,49.9,6.1,28,651,Fair (620-679)
BOR100123,40,GA,18000.0,Part-time,Mortgage,41.7,4.7,21,669,Fair (620-679)
BOR100124,37,MN,46600.0,Full-time,Rent,28.4,3.2,21,748,Very Good (740-799)
BOR100125,51,IN,43000.0,Full-time,Mortgage,26.8,4.6,34,732,Good (680-739)
BOR100126,47,MI,65200.0,Full-time,Mortgage,25.3,4.7,28,746,Very Good (740-799)
BOR100127,58,FL,56600.0,Full-time,Own,20.8,4.6,40,500,Poor (<620)
BOR100128,47,WI,20700.0,Full-time,Rent,48.2,9.9,31,793,Very Good (740-799)
BOR100129,39,OH,28700.0,Part-time,Own,24.4,1.0,21,721,Good (680-739)
BOR100130,48,MS,32400.0,Full-time,Mortgage,49.2,0.0,29,840,Exceptional (800+)
BOR100131,19,OH,65000.0,Retired,Own,33.0,2.0,1,629,Fair (620-679)
BOR100132,66,NY,55200.0,Part-time,Own,31.2,2.0,47,565,Poor (<620)
BOR100133,44,NV,35300.0,Self-employed,Own,33.0,8.8,26,680,Good (680-739)
BOR100134,67,PA,49800.0,Self-employed,Mortgage,44.1,10.8,48,662,Fair (620-679)
BOR100135,31,PA,29000.0,Self-employed,Rent,23.5,1.9,11,722,Good (680-739)
BOR100136,28,TN,117300.0,Full-time,Rent,37.1,4.8,11,750,Very Good (740-799)
BOR100137,45,LA,60400.0,Full-time,Rent,31.6,0.9,23,674,Fair (620-679)
BOR100138,45,PA,66400.0,Full-time,Rent,36.0,0.8,27,664,Fair (620-679)
BOR100139,45,GA,86600.0,Full-time,Rent,30.0,0.4,22,714,Good (680-739)
BOR100140,43,MN,73700.0,Self-employed,Mortgage,28.4,3.7,25,663,Fair (620-679)
BOR100141,33,UT,47300.0,Full-time,Rent,37.3,8.1,17,658,Fair (620-679)
BOR100142,23,WA,42900.0,Self-employed,Mortgage,18.2,1.5,3,747,Very Good (740-799)
BOR100143,44,NY,83300.0,Full-time,Rent,45.9,4.9,21,762,Very Good (740-799)
BOR100144,26,CA,47200.0,Self-employed,Own,33.1,8.7,6,750,Very Good (740-799)
BOR100145,24,IL,33300.0,Full-time,Mortgage,26.5,3.8,6,669,Fair (620-679)
BOR100146,36,NY,113000.0,Full-time,Mortgage,35.7,1.8,14,541,Poor (<620)
BOR100147,46,MO,30600.0,Self-employed,Mortgage,25.1,4.7,26,670,Fair (620-679)
BOR100148,65,NY,21400.0,Full-time,Rent,32.8,0.1,46,631,Fair (620-679)
BOR100149,53,WA,72900.0,Part-time,Rent,32.9,2.0,37,672,Fair (620-679)
BOR100150,58,MD,33600.0,Full-time,Rent,44.6,5.0,37,636,Fair (620-679)
BOR100151,49,MA,56700.0,Self-employed,Rent,34.8,7.1,32,679,Fair (620-679)
BOR100152,45,PA,105600.0,Full-time,Rent,20.8,3.3,24,612,Poor (<620)
BOR100153,71,NV,25100.0,Self-employed,Rent,37.8,6.1,49,597,Poor (<620)
BOR100154,25,MD,45800.0,Full-time,Rent,39.2,0.4,5,759,Very Good (740-799)
BOR100155,36,WI,90900.0,Full-time,Rent,15.9,3.3,16,617,Poor (<620)
BOR100156,37,NY,63400.0,Full-time,Mortgage,20.1,3.7,14,680,Good (680-739)
BOR100157,52,NY,43000.0,Full-time,Other,52.1,0.4,35,742,Very Good (740-799)
BOR100158,29,MS,136700.0,Part-time,Rent,28.7,16.9,13,739,Good (680-739)
BOR100159,50,MI,44700.0,Full-time,Mortgage,28.9,13.7,27,732,Good (680-739)
BOR100160,48,GA,55700.0,Part-time,Mortgage,31.7,0.0,30,700,Good (680-739)
BOR100161,51,WA,97900.0,Full-time,Rent,25.6,10.9,29,727,Good (680-739)
BOR100162,51,IN,72500.0,Full-time,Rent,14.3,4.1,34,769,Very Good (740-799)
BOR100163,59,UT,84500.0,Full-time,Own,20.8,0.2,40,708,Good (680-739)
BOR100164,40,GA,31100.0,Full-time,Mortgage,25.6,8.7,18,561,Poor (<620)
BOR100165,47,MS,81000.0,Part-time,Rent,27.0,1.3,30,646,Fair (620-679)
BOR100166,32,CA,50300.0,Unemployed,Rent,24.3,4.1,15,725,Good (680-739)
BOR100167,29,AZ,33300.0,Full-time,Mortgage,17.1,4.2,11,639,Fair (620-679)
BOR100168,62,TN,51500.0,Unemployed,Rent,26.5,12.6,41,785,Very Good (740-799)
BOR100169,31,FL,50800.0,Full-time,Rent,43.2,10.1,10,676,Fair (620-679)
BOR100170,49,NY,108100.0,Full-time,Mortgage,25.3,0.9,28,686,Good (680-739)
BOR100171,47,NJ,55400.0,Full-time,Mortgage,30.2,1.3,29,753,Very Good (740-799)
BOR100172,55,UT,32800.0,Full-time,Mortgage,46.4,11.8,33,668,Fair (620-679)
BOR100173,21,TN,29600.0,Retired,Rent,25.1,1.1,2,691,Good (680-739)
BOR100174,52,MS,45600.0,Full-time,Other,62.6,20.2,33,738,Good (680-739)
BOR100175,40,NV,25400.0,Full-time,Other,40.9,1.9,17,584,Poor (<620)
BOR100176,34,VA,33800.0,Full-time,Rent,32.8,3.9,11,661,Fair (620-679)
BOR100177,38,MN,41800.0,Full-time,Mortgage,29.5,0.5,15,734,Good (680-739)
BOR100178,53,CA,38600.0,Full-time,Own,45.4,8.3,33,684,Good (680-739)
BOR100179,50,FL,64700.0,Full-time,Rent,25.1,0.3,31,775,Very Good (740-799)
BOR100180,39,NV,33500.0,Self-employed,Mortgage,27.7,0.9,23,578,Poor (<620)
BOR100181,27,MN,18000.0,Full-time,Rent,48.1,0.4,4,570,Poor (<620)
BOR100182,28,IL,21800.0,Full-time,Other,28.2,3.9,10,730,Good (680-739)
BOR100183,50,AZ,46300.0,Full-time,Own,27.3,0.5,31,736,Good (680-739)
BOR100184,26,TN,35800.0,Retired,Mortgage,25.4,1.6,8,667,Fair (620-679)
BOR100185,40,LA,26700.0,Retired,Rent,12.7,6.8,21,706,Good (680-739)
BOR100186,73,TN,112600.0,Retired,Mortgage,42.1,3.4,55,728,Good (680-739)
BOR100187,47,NJ,67700.0,Full-time,Own,31.6,1.7,30,627,Fair (620-679)
BOR100188,50,MI,45400.0,Full-time,Rent,42.7,11.1,32,634,Fair (620-679)
BOR100189,28,NJ,51800.0,Self-employed,Own,30.3,2.0,11,692,Good (680-739)
BOR100190,26,IN,41400.0,Full-time,Mortgage,27.8,5.9,4,739,Good (680-739)
BOR100191,51,LA,26500.0,Full-time,Other,25.4,1.9,30,604,Poor (<620)
BOR100192,38,NJ,74100.0,Retired,Mortgage,38.8,2.2,22,667,Fair (620-679)
BOR100193,55,OH,68400.0,Full-time,Own,24.0,3.6,33,664,Fair (620-679)
BOR100194,43,IL,19200.0,Full-time,Rent,35.8,4.3,22,707,Good (680-739)
BOR100195,78,WI,51600.0,Full-time,Own,32.4,1.5,55,679,Fair (620-679)
BOR100196,35,NV,54300.0,Full-time,Mortgage,21.6,6.2,16,645,Fair (620-679)
BOR100197,46,FL,40300.0,Unemployed,Other,27.5,4.6,25,761,Very Good (740-799)
BOR100198,31,TX,119800.0,Full-time,Rent,32.1,0.0,15,645,Fair (620-679)
BOR100199,55,TN,114100.0,Full-time,Mortgage,28.9,5.9,37,661,Fair (620-679)
BOR100200,47,NY,39300.0,Full-time,Rent,51.0,6.6,27,577,Poor (<620)
BOR100201,31,NV,42200.0,Full-time,Mortgage,34.4,3.1,8,634,Fair (620-679)
BOR100202,38,GA,40000.0,Part-time,Rent,30.0,4.3,21,714,Good (680-739)
BOR100203,59,NY,35400.0,Full-time,Rent,28.4,2.5,38,701,Good (680-739)
BOR100204,57,MS,30800.0,Full-time,Rent,29.7,4.2,34,719,Good (680-739)
BOR100205,25,PA,58600.0,Full-time,Own,25.9,13.5,3,716,Good (680-739)
BOR100206,37,GA,112700.0,Full-time,Mortgage,23.8,5.3,16,816,Exceptional (800+)
BOR100207,64,PA,93700.0,Full-time,Own,38.0,2.6,42,631,Fair (620-679)
BOR100208,40,FL,66500.0,Self-employed,Rent,47.4,0.0,19,575,Poor (<620)
BOR100209,44,CA,18000.0,Self-employed,Rent,27.5,0.8,25,612,Poor (<620)
BOR100210,55,TX,20100.0,Full-time,Mortgage,36.3,17.1,32,634,Fair (620-679)
BOR100211,26,PA,75300.0,Self-employed,Mortgage,25.4,2.5,5,617,Poor (<620)
BOR100212,31,TX,96600.0,Self-employed,Mortgage,33.0,2.3,8,686,Good (680-739)
BOR100213,38,MA,59800.0,Self-employed,Own,18.9,9.3,21,761,Very Good (740-799)
BOR100214,57,MO,40600.0,Self-employed,Rent,23.5,14.9,41,780,Very Good (740-799)
BOR100215,54,MI,85700.0,Unemployed,Rent,23.1,0.5,36,713,Good (680-739)
BOR100216,51,GA,65500.0,Full-time,Rent,30.5,0.5,34,819,Exceptional (800+)
BOR100217,41,WA,77800.0,Full-time,Rent,20.3,6.0,21,657,Fair (620-679)
BOR100218,56,LA,20200.0,Retired,Rent,9.6,6.8,34,574,Poor (<620)
BOR100219,40,NV,54400.0,Full-time,Mortgage,18.3,4.4,23,748,Very Good (740-799)
BOR100220,49,TX,103600.0,Part-time,Rent,30.3,1.1,27,560,Poor (<620)
BOR100221,53,PA,59100.0,Full-time,Own,24.1,2.2,31,631,Fair (620-679)
BOR100222,63,IL,71400.0,Full-time,Mortgage,26.2,0.4,47,714,Good (680-739)
BOR100223,42,OH,47400.0,Unemployed,Rent,34.6,1.5,23,673,Fair (620-679)
BOR100224,38,MA,48900.0,Full-time,Own,23.8,3.9,19,668,Fair (620-679)
BOR100225,58,NJ,87700.0,Full-time,Rent,31.2,4.8,35,603,Poor (<620)
BOR100226,59,TX,34500.0,Full-time,Own,53.4,2.4,39,679,Fair (620-679)
BOR100227,36,MI,33000.0,Retired,Mortgage,28.2,6.4,14,745,Very Good (740-799)
BOR100228,29,WA,37600.0,Full-time,Mortgage,29.9,0.3,10,681,Good (680-739)
BOR100229,57,FL,47100.0,Retired,Own,35.8,0.6,39,626,Fair (620-679)
BOR100230,22,NV,22600.0,Full-time,Mortgage,23.8,8.1,1,599,Poor (<620)
BOR100231,22,TX,64800.0,Retired,Mortgage,26.1,6.3,6,627,Fair (620-679)
BOR100232,39,MS,43300.0,Full-time,Own,31.0,1.6,20,706,Good (680-739)
BOR100233,42,FL,68500.0,Self-employed,Mortgage,33.9,18.4,26,702,Good (680-739)
BOR100234,28,NV,18000.0,Full-time,Own,22.7,6.3,12,628,Fair (620-679)
BOR100235,44,MS,68600.0,Full-time,Rent,37.6,3.1,28,536,Poor (<620)
BOR100236,44,NH,85100.0,Full-time,Rent,47.5,1.5,27,707,Good (680-739)
BOR100237,35,MN,56800.0,Part-time,Rent,12.9,1.0,17,622,Fair (620-679)
BOR100238,65,MN,47300.0,Full-time,Mortgage,35.9,23.9,42,725,Good (680-739)
BOR100239,46,IN,68800.0,Full-time,Rent,31.1,4.6,30,631,Fair (620-679)
BOR100240,55,MN,82600.0,Full-time,Other,29.0,3.0,32,616,Poor (<620)
BOR100241,24,NY,59000.0,Self-employed,Mortgage,35.3,3.9,5,690,Good (680-739)
BOR100242,23,AZ,61000.0,Full-time,Rent,45.8,6.9,1,833,Exceptional (800+)
BOR100243,47,WA,98300.0,Part-time,Rent,34.6,1.7,27,729,Good (680-739)
BOR100244,63,LA,65700.0,Full-time,Own,41.6,9.2,42,689,Good (680-739)
BOR100245,29,VA,32500.0,Full-time,Mortgage,31.6,0.8,7,703,Good (680-739)
BOR100246,43,MI,82500.0,Full-time,Rent,35.7,1.7,22,566,Poor (<620)
BOR100247,26,IN,44100.0,Full-time,Own,26.6,1.8,3,607,Poor (<620)
BOR100248,32,OH,47300.0,Retired,Own,32.4,0.5,9,517,Poor (<620)
BOR100249,43,NY,48900.0,Full-time,Mortgage,29.3,3.7,27,792,Very Good (740-799)
BOR100250,35,VA,72100.0,Full-time,Own,33.1,4.9,18,779,Very Good (740-799)
BOR100251,25,NJ,102400.0,Full-time,Own,15.4,4.6,2,706,Good (680-739)
BOR100252,25,IL,47100.0,Full-time,Mortgage,20.8,10.9,3,689,Good (680-739)
BOR100253,19,NC,101600.0,Part-time,Rent,43.9,3.9,1,579,Poor (<620)
BOR100254,47,NC,50200.0,Full-time,Mortgage,45.9,0.7,28,666,Fair (620-679)
BOR100255,48,NC,87600.0,Self-employed,Rent,14.7,3.4,27,797,Very Good (740-799)
BOR100256,48,MI,51000.0,Full-time,Other,26.3,6.5,27,689,Good (680-739)
BOR100257,30,MD,37400.0,Self-employed,Mortgage,24.5,2.3,13,643,Fair (620-679)
BOR100258,53,GA,110700.0,Retired,Other,34.5,3.3,31,566,Poor (<620)
BOR100259,49,NM,35800.0,Unemployed,Rent,31.2,4.3,30,770,Very Good (740-799)
BOR100260,41,MS,34700.0,Full-time,Own,38.8,3.7,19,675,Fair (620-679)
BOR100261,39,VA,26500.0,Full-time,Own,18.5,3.5,21,566,Poor (<620)
BOR100262,33,NC,82500.0,Retired,Rent,35.5,2.4,11,620,Fair (620-679)
BOR100263,43,AZ,91700.0,Part-time,Rent,28.7,4.0,24,597,Poor (<620)
BOR100264,60,NV,55200.0,Full-time,Own,24.6,7.9,41,671,Fair (620-679)
BOR100265,55,IN,29900.0,Self-employed,Rent,36.4,0.0,37,693,Good (680-739)
BOR100266,38,NV,46500.0,Self-employed,Rent,29.5,2.2,18,647,Fair (620-679)
BOR100267,47,AZ,40700.0,Self-employed,Other,31.0,2.3,30,731,Good (680-739)
BOR100268,28,TN,29300.0,Full-time,Rent,45.4,0.8,11,685,Good (680-739)
BOR100269,50,GA,37400.0,Full-time,Own,32.7,1.3,32,749,Very Good (740-799)
BOR100270,31,WI,58500.0,Part-time,Own,51.4,13.7,10,657,Fair (620-679)
BOR100271,49,PA,35500.0,Full-time,Mortgage,8.7,2.4,28,850,Exceptional (800+)
BOR100272,77,MD,53200.0,Self-employed,Mortgage,31.9,6.6,55,643,Fair (620-679)
BOR100273,34,LA,21000.0,Full-time,Rent,20.9,11.1,16,621,Fair (620-679)
BOR100274,76,NY,99300.0,Full-time,Rent,22.7,1.9,55,613,Poor (<620)
BOR100275,47,TN,39100.0,Self-employed,Rent,25.4,0.9,26,666,Fair (620-679)
BOR100276,32,FL,69000.0,Full-time,Mortgage,41.2,4.6,11,568,Poor (<620)
BOR100277,31,MD,50800.0,Full-time,Mortgage,27.9,3.2,12,699,Good (680-739)
BOR100278,69,TX,55900.0,Self-employed,Mortgage,20.6,2.8,50,556,Poor (<620)
BOR100279,47,MS,28000.0,Self-employed,Mortgage,38.6,1.0,24,691,Good (680-739)
BOR100280,34,NY,33100.0,Self-employed,Rent,20.2,0.6,13,592,Poor (<620)
BOR100281,39,UT,33500.0,Full-time,Rent,48.7,0.1,21,655,Fair (620-679)
BOR100282,46,MN,47200.0,Full-time,Rent,19.1,0.9,28,719,Good (680-739)
BOR100283,41,TN,84700.0,Full-time,Rent,29.1,0.7,18,830,Exceptional (800+)
BOR100284,45,MN,56700.0,Full-time,Own,51.2,6.1,26,610,Poor (<620)
BOR100285,62,MN,31100.0,Full-time,Mortgage,28.8,6.1,46,670,Fair (620-679)
BOR100286,27,NM,48500.0,Full-time,Rent,36.2,1.4,10,633,Fair (620-679)
BOR100287,49,OH,45000.0,Full-time,Mortgage,30.9,0.7,33,623,Fair (620-679)
BOR100288,40,MA,39800.0,Full-time,Own,32.0,3.7,24,634,Fair (620-679)
BOR100289,35,FL,46300.0,Self-employed,Own,23.8,0.4,17,734,Good (680-739)
BOR100290,54,TN,65800.0,Retired,Rent,36.5,0.2,35,648,Fair (620-679)
BOR100291,23,PA,33700.0,Full-time,Rent,45.3,5.2,1,826,Exceptional (800+)
BOR100292,19,AZ,39900.0,Self-employed,Mortgage,12.6,3.0,1,707,Good (680-739)
BOR100293,44,MA,72500.0,Full-time,Rent,22.8,4.4,23,614,Poor (<620)
BOR100294,39,VA,57600.0,Full-time,Own,26.5,4.1,16,656,Fair (620-679)
BOR100295,25,WA,82900.0,Full-time,Own,23.1,6.6,7,628,Fair (620-679)
BOR100296,20,CO,89000.0,Part-time,Mortgage,38.4,0.7,1,732,Good (680-739)
BOR100297,64,MN,25300.0,Full-time,Mortgage,25.9,1.8,48,573,Poor (<620)
BOR100298,47,WA,53100.0,Full-time,Other,32.8,1.5,31,593,Poor (<620)
BOR100299,41,TN,37100.0,Full-time,Own,46.9,2.6,19,642,Fair (620-679)
