loan_id,borrower_id,origination_date,origination_state,vintage_quarter,loan_amount,term_months,interest_rate,loan_purpose,origination_channel,current_status,current_balance,days_past_due,is_delinquent,is_closed,last_performance_month
LN500017,BOR100017,2024-01-13,IN,2024Q1,6390.0,60,0.1956,Debt Consolidation,Online,Current,4540.64,0,False,False,2025-12-01
LN500018,BOR100018,2025-07-04,AZ,2025Q3,7170.0,36,0.1265,Home Improvement,Branch,Paid_Off,0.0,0,False,True,2025-11-01
LN500019,BOR100019,2025-08-10,MN,2025Q3,9990.0,60,0.1183,Medical,Online,Current,9363.39,0,False,False,2025-12-01
LN500020,BOR100020,2025-07-05,IN,2025Q3,29580.0,36,0.1563,Debt Consolidation,Branch,Current,25555.3,0,False,False,2025-12-01
LN500021,BOR100021,2025-04-13,NJ,2025Q2,25650.0,36,0.2119,Debt Consolidation,Broker,Current,20664.74,0,False,False,2025-12-01
LN500022,BOR100022,2025-06-16,NV,2025Q2,6020.0,36,0.1568,Debt Consolidation,Branch,30DPD,5829.39,30,True,False,2025-08-01
LN500023,BOR100023,2025-04-24,PA,2025Q2,10980.0,48,0.1454,Auto,Online,Current,9373.81,0,False,False,2025-12-01
LN500024,BOR100024,2024-05-06,CA,2024Q2,21620.0,48,0.1851,Other,Online,Current,14482.62,0,False,False,2025-12-01
LN500025,BOR100025,2025-02-01,FL,2025Q1,30300.0,36,0.1955,Debt Consolidation,Online,90DPD,31148.62,90,True,False,2025-05-01
LN500026,BOR100026,2024-07-17,MD,2024Q3,9060.0,36,0.1601,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-09-01
LN500027,BOR100027,2025-03-06,VA,2025Q1,17050.0,48,0.1432,Debt Consolidation,Online,Current,14250.99,0,False,False,2025-12-01
LN500028,BOR100028,2025-08-14,PA,2025Q3,8950.0,24,0.1789,Auto,Broker,Current,7338.05,0,False,False,2025-12-01
LN500029,BOR100029,2025-11-27,WA,2025Q4,22830.0,60,0.2417,Debt Consolidation,Branch,60DPD,23758.93,60,True,False,2025-12-01
LN500030,BOR100030,2025-05-11,NY,2025Q2,11410.0,60,0.1305,Major Purchase,Online,Current,10281.2,0,False,False,2025-12-01
LN500031,BOR100031,2025-02-17,MD,2025Q1,12680.0,24,0.225,Auto,Branch,Current,7562.88,0,False,False,2025-12-01
LN500032,BOR100032,2024-05-25,NJ,2024Q2,6800.0,48,0.1301,Home Improvement,Online,Current,4386.01,0,False,False,2025-12-01
LN500033,BOR100033,2024-07-10,MI,2024Q3,21360.0,24,0.1488,Major Purchase,Online,Current,5945.98,0,False,False,2025-12-01
LN500034,BOR100034,2024-04-05,GA,2024Q2,17060.0,36,0.2289,Other,Online,90DPD,14619.92,90,True,False,2025-03-01
LN500035,BOR100035,2025-06-06,TN,2025Q2,15860.0,36,0.1595,Home Improvement,Branch,Current,13336.38,0,False,False,2025-12-01
LN500036,BOR100036,2024-12-01,NC,2024Q4,11220.0,48,0.1386,Auto,Online,Current,8763.34,0,False,False,2025-12-01
LN500037,BOR100037,2024-09-12,FL,2024Q3,10860.0,24,0.1087,Other,Online,Current,3883.99,0,False,False,2025-12-01
LN500038,BOR100038,2025-02-22,FL,2025Q1,18580.0,36,0.1341,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-10-01
LN500039,BOR100039,2025-09-22,UT,2025Q3,10320.0,48,0.2548,Debt Consolidation,Branch,Current,9800.45,0,False,False,2025-12-01
LN500040,BOR100040,2024-09-06,MS,2024Q3,21280.0,24,0.1027,Home Improvement,Branch,Paid_Off,0.0,0,False,True,2025-04-01
LN500041,BOR100041,2024-11-27,MD,2024Q4,25660.0,36,0.1201,Debt Consolidation,Online,Current,16757.03,0,False,False,2025-12-01
LN500042,BOR100042,2024-09-13,OH,2024Q3,11310.0,60,0.2257,Debt Consolidation,Online,30DPD,10976.19,30,True,False,2025-02-01
LN500043,BOR100043,2024-07-08,UT,2024Q3,14220.0,60,0.2189,Home Improvement,Online,Current,11427.61,0,False,False,2025-12-01
LN500044,BOR100044,2024-12-04,MN,2024Q4,5540.0,48,0.1533,Auto,Broker,Current,4355.52,0,False,False,2025-12-01
LN500045,BOR100045,2024-02-22,MD,2024Q1,12650.0,36,0.1183,Debt Consolidation,Broker,Current,5090.69,0,False,False,2025-12-01
LN500046,BOR100046,2024-03-24,NJ,2024Q1,12890.0,48,0.1837,Auto,Online,Current,8124.6,0,False,False,2025-12-01
LN500047,BOR100047,2024-09-02,OH,2024Q3,16300.0,36,0.0853,Debt Consolidation,Online,Current,9565.55,0,False,False,2025-12-01
LN500048,BOR100048,2025-07-17,FL,2025Q3,20000.0,24,0.2393,Medical,Branch,60DPD,19423.2,60,True,False,2025-10-01
LN500049,BOR100049,2025-01-21,MS,2025Q1,16750.0,48,0.2279,Medical,Broker,90DPD,16531.07,90,True,False,2025-08-01
LN500050,BOR100050,2024-11-27,NJ,2024Q4,24320.0,48,0.2565,Auto,Broker,Paid_Off,0.0,0,False,True,2025-08-01
LN500051,BOR100051,2024-02-23,PA,2024Q1,14240.0,48,0.227,Auto,Broker,Current,8978.79,0,False,False,2025-12-01
LN500052,BOR100052,2024-02-14,GA,2024Q1,8410.0,48,0.1135,Home Improvement,Partner,Current,4851.0,0,False,False,2025-12-01
LN500053,BOR100053,2025-12-09,MA,2025Q4,25600.0,60,0.0758,Auto,Broker,Current,25247.76,0,False,False,2025-12-01
LN500054,BOR100054,2025-01-27,PA,2025Q1,7910.0,24,0.1229,Other,Online,Paid_Off,0.0,0,False,True,2025-06-01
LN500055,BOR100055,2025-03-20,LA,2025Q1,8930.0,36,0.195,Major Purchase,Online,90DPD,8578.85,90,True,False,2025-09-01
LN500056,BOR100056,2024-09-08,CO,2024Q3,13430.0,36,0.1878,Auto,Online,Current,8372.54,0,False,False,2025-12-01
LN500057,BOR100057,2025-07-26,MD,2025Q3,7900.0,36,0.1488,Auto,Broker,Current,6814.25,0,False,False,2025-12-01
LN500058,BOR100058,2025-08-13,NJ,2025Q3,11950.0,36,0.2211,Auto,Branch,Paid_Off,0.0,0,False,True,2025-12-01
LN500059,BOR100059,2024-02-18,TN,2024Q1,6410.0,24,0.1866,Auto,Online,Paid_Off,0.0,0,False,True,2025-08-01
LN500060,BOR100060,2025-01-14,MA,2025Q1,10640.0,24,0.091,Debt Consolidation,Broker,Paid_Off,0.0,0,False,True,2025-06-01
LN500061,BOR100061,2024-10-17,IN,2024Q4,6670.0,48,0.2349,Auto,Online,30DPD,6443.54,30,True,False,2025-02-01
LN500062,BOR100062,2025-09-13,TX,2025Q3,18250.0,36,0.1982,Debt Consolidation,Online,Current,16711.89,0,False,False,2025-12-01
LN500063,BOR100063,2024-10-03,NJ,2024Q4,15140.0,60,0.1662,Auto,Online,30DPD,14672.77,30,True,False,2025-02-01
LN500064,BOR100064,2024-05-16,TX,2024Q2,7830.0,60,0.1121,Debt Consolidation,Partner,Current,5687.77,0,False,False,2025-12-01
LN500065,BOR100065,2025-05-06,WA,2025Q2,7260.0,60,0.1991,Other,Branch,Current,6653.45,0,False,False,2025-12-01
LN500066,BOR100066,2024-08-02,NC,2024Q3,10580.0,48,0.1415,Debt Consolidation,Online,Current,7491.25,0,False,False,2025-12-01
LN500067,BOR100067,2024-12-08,NY,2024Q4,11940.0,48,0.1232,Major Purchase,Broker,Current,9260.43,0,False,False,2025-12-01
LN500068,BOR100068,2024-06-24,FL,2024Q2,20500.0,48,0.0594,Auto,Branch,Current,12960.97,0,False,False,2025-12-01
LN500069,BOR100069,2024-07-05,MA,2024Q3,6900.0,24,0.1683,Medical,Online,Current,1946.82,0,False,False,2025-12-01
LN500070,BOR100070,2025-11-20,PA,2025Q4,22590.0,24,0.1696,Major Purchase,Online,Current,20984.34,0,False,False,2025-12-01
LN500071,BOR100071,2025-06-03,MS,2025Q2,11050.0,24,0.0931,Debt Consolidation,Partner,Current,8035.95,0,False,False,2025-12-01
LN500072,BOR100072,2024-08-16,MA,2024Q3,10840.0,60,0.2094,Debt Consolidation,Online,Current,8807.53,0,False,False,2025-12-01
LN500073,BOR100073,2025-05-24,NC,2025Q2,7430.0,24,0.2345,Other,Broker,Current,5325.39,0,False,False,2025-12-01
LN500074,BOR100074,2025-01-11,MA,2025Q1,11830.0,60,0.1486,Debt Consolidation,Branch,Current,10106.87,0,False,False,2025-12-01
LN500075,BOR100075,2024-10-06,CA,2024Q4,7490.0,48,0.0979,Debt Consolidation,Branch,Current,5454.73,0,False,False,2025-12-01
LN500076,BOR100076,2024-04-09,UT,2024Q2,14330.0,60,0.1458,Auto,Branch,Current,10441.82,0,False,False,2025-12-01
LN500077,BOR100077,2025-10-24,VA,2025Q4,24140.0,48,0.1597,Debt Consolidation,Branch,Current,23037.97,0,False,False,2025-12-01
LN500078,BOR100078,2024-01-25,MN,2024Q1,40430.0,24,0.2331,Debt Consolidation,Partner,Paid_Off,0.0,0,False,True,2025-12-01
LN500079,BOR100079,2024-04-26,TX,2024Q2,13490.0,36,0.1769,Auto,Online,Current,6492.25,0,False,False,2025-12-01
LN500080,BOR100080,2024-12-05,WA,2024Q4,15730.0,36,0.1205,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500081,BOR100081,2025-01-12,WA,2025Q1,15690.0,24,0.226,Debt Consolidation,Online,Current,8719.65,0,False,False,2025-12-01
LN500082,BOR100082,2025-03-10,MS,2025Q1,33620.0,48,0.1807,Other,Branch,Current,28453.93,0,False,False,2025-12-01
LN500083,BOR100083,2025-09-08,MA,2025Q3,14100.0,36,0.1759,Auto,Broker,Current,12872.67,0,False,False,2025-12-01
LN500084,BOR100084,2025-12-07,VA,2025Q4,9030.0,36,0.1972,Major Purchase,Branch,Current,8844.09,0,False,False,2025-12-01
LN500085,BOR100085,2025-05-22,OH,2025Q2,12630.0,36,0.1171,Major Purchase,Online,Current,10191.92,0,False,False,2025-12-01
LN500086,BOR100086,2025-12-02,NC,2025Q4,7420.0,24,0.1426,Auto,Online,Current,7151.0,0,False,False,2025-12-01
LN500087,BOR100087,2025-01-27,WA,2025Q1,32690.0,24,0.1312,Major Purchase,Branch,Current,17409.84,0,False,False,2025-12-01
LN500088,BOR100088,2025-10-21,NJ,2025Q4,17650.0,60,0.2415,Debt Consolidation,Branch,Current,17178.38,0,False,False,2025-12-01
LN500089,BOR100089,2024-03-04,CA,2024Q1,23190.0,36,0.2347,Major Purchase,Online,Current,10970.46,0,False,False,2025-12-01
LN500090,BOR100090,2025-03-16,NV,2025Q1,9770.0,24,0.1457,Major Purchase,Branch,Current,6039.74,0,False,False,2025-12-01
LN500091,BOR100091,2024-01-10,LA,2024Q1,17880.0,36,0.2018,Home Improvement,Online,Current,7184.1,0,False,False,2025-12-01
LN500092,BOR100092,2025-08-07,NY,2025Q3,13180.0,48,0.1105,Home Improvement,Broker,Current,12061.62,0,False,False,2025-12-01
LN500093,BOR100093,2025-05-21,AZ,2025Q2,5610.0,48,0.069,Medical,Online,Current,4778.84,0,False,False,2025-12-01
LN500094,BOR100094,2024-10-12,FL,2024Q4,7730.0,36,0.0716,Other,Branch,Current,4708.91,0,False,False,2025-12-01
LN500095,BOR100095,2024-11-01,MO,2024Q4,16400.0,36,0.2224,Auto,Broker,Current,11268.37,0,False,False,2025-12-01
LN500096,BOR100096,2025-12-11,GA,2025Q4,46420.0,48,0.1254,Auto,Online,Current,45670.33,0,False,False,2025-12-01
LN500097,BOR100097,2024-11-11,IN,2024Q4,22020.0,36,0.1208,Debt Consolidation,Online,Current,14385.21,0,False,False,2025-12-01
LN500098,BOR100098,2025-12-09,MD,2025Q4,19410.0,48,0.1211,Debt Consolidation,Branch,Current,19093.69,0,False,False,2025-12-01
LN500099,BOR100099,2024-10-04,MN,2024Q4,29840.0,36,0.1981,Debt Consolidation,Branch,Current,19494.74,0,False,False,2025-12-01
LN500100,BOR100100,2025-11-19,FL,2025Q4,10390.0,36,0.0955,Home Improvement,Broker,Paid_Off,0.0,0,False,True,2025-12-01
LN500101,BOR100101,2024-05-22,MS,2024Q2,18810.0,60,0.1702,Debt Consolidation,Branch,Current,14201.82,0,False,False,2025-12-01
LN500102,BOR100102,2024-03-25,IL,2024Q1,7890.0,48,0.153,Medical,Broker,Current,4859.77,0,False,False,2025-12-01
LN500103,BOR100103,2025-02-07,CA,2025Q1,14040.0,36,0.2468,Other,Online,Current,10780.41,0,False,False,2025-12-01
LN500104,BOR100104,2025-11-15,AZ,2025Q4,9970.0,36,0.1278,Debt Consolidation,Online,Current,9510.19,0,False,False,2025-12-01
LN500105,BOR100105,2024-10-17,NC,2024Q4,21930.0,48,0.1762,Debt Consolidation,Partner,Current,16639.7,0,False,False,2025-12-01
LN500106,BOR100106,2024-10-06,NV,2024Q4,5060.0,36,0.1262,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-03-01
LN500107,BOR100107,2024-02-16,NV,2024Q1,8560.0,36,0.1577,Other,Online,Current,3563.38,0,False,False,2025-12-01
LN500108,BOR100108,2025-02-10,GA,2025Q1,29360.0,48,0.1374,Medical,Online,Current,23973.24,0,False,False,2025-12-01
LN500109,BOR100109,2025-11-26,UT,2025Q4,22880.0,48,0.1707,Debt Consolidation,Broker,Current,22204.1,0,False,False,2025-12-01
LN500110,BOR100110,2024-08-20,GA,2024Q3,14700.0,36,0.1249,Auto,Online,Current,8436.82,0,False,False,2025-12-01
LN500111,BOR100111,2024-12-03,WA,2024Q4,18180.0,48,0.1995,Major Purchase,Online,30DPD,15130.79,30,True,False,2025-12-01
LN500112,BOR100112,2024-09-08,OH,2024Q3,16400.0,48,0.2477,Home Improvement,Broker,30DPD,14207.07,30,True,False,2025-08-01
LN500113,BOR100113,2024-06-13,MS,2024Q2,45420.0,48,0.1067,Debt Consolidation,Broker,Paid_Off,0.0,0,False,True,2025-05-01
LN500114,BOR100114,2024-05-02,PA,2024Q2,15970.0,48,0.2015,Debt Consolidation,Online,90DPD,14570.47,90,True,False,2025-04-01
LN500115,BOR100115,2025-05-25,TX,2025Q2,17570.0,36,0.2327,Auto,Online,Paid_Off,0.0,0,False,True,2025-10-01
LN500116,BOR100116,2025-02-25,NJ,2025Q1,10920.0,36,0.2181,Major Purchase,Partner,Paid_Off,0.0,0,False,True,2025-10-01
LN500117,BOR100117,2025-09-15,NH,2025Q3,14640.0,60,0.1493,Debt Consolidation,Partner,Current,13965.12,0,False,False,2025-12-01
LN500118,BOR100118,2024-06-09,LA,2024Q2,7010.0,60,0.151,Debt Consolidation,Broker,Current,5327.73,0,False,False,2025-12-01
LN500119,BOR100119,2024-08-26,CO,2024Q3,15830.0,60,0.238,Major Purchase,Broker,Current,13040.21,0,False,False,2025-12-01
LN500120,BOR100120,2025-05-04,LA,2025Q2,17770.0,60,0.1736,Medical,Branch,Current,16187.54,0,False,False,2025-12-01
LN500121,BOR100121,2025-11-07,LA,2025Q4,16210.0,60,0.1277,Debt Consolidation,Broker,Paid_Off,0.0,0,False,True,2025-12-01
LN500122,BOR100122,2024-03-17,WA,2024Q1,26290.0,36,0.202,Home Improvement,Online,Current,12129.35,0,False,False,2025-12-01
LN500123,BOR100123,2025-03-13,GA,2025Q1,27990.0,36,0.1643,Debt Consolidation,Branch,Current,21534.47,0,False,False,2025-12-01
LN500124,BOR100124,2024-03-06,MN,2024Q1,29120.0,60,0.1081,Major Purchase,Online,Current,20208.81,0,False,False,2025-12-01
LN500125,BOR100125,2024-07-22,IN,2024Q3,7960.0,48,0.1048,Debt Consolidation,Partner,Current,5356.2,0,False,False,2025-12-01
LN500126,BOR100126,2024-01-14,MI,2024Q1,21650.0,24,0.1172,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500127,BOR100127,2025-05-13,FL,2025Q2,18890.0,36,0.2674,Auto,Broker,Default,19041.97,120,True,True,2025-11-01
LN500128,BOR100128,2025-05-07,WI,2025Q2,22640.0,48,0.0788,Debt Consolidation,Online,Current,19342.88,0,False,False,2025-12-01
LN500129,BOR100129,2025-03-07,OH,2025Q1,12790.0,48,0.1167,Medical,Broker,Paid_Off,0.0,0,False,True,2025-10-01
LN500130,BOR100130,2025-11-25,MS,2025Q4,14770.0,24,0.0651,Medical,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500131,BOR100131,2025-11-03,OH,2025Q4,9750.0,48,0.2145,Debt Consolidation,Online,Current,9487.68,0,False,False,2025-12-01
LN500132,BOR100132,2025-01-10,NY,2025Q1,27790.0,48,0.2472,Auto,Broker,Paid_Off,0.0,0,False,True,2025-08-01
LN500133,BOR100133,2025-10-23,NV,2025Q4,14690.0,36,0.1719,Debt Consolidation,Online,Current,13732.32,0,False,False,2025-12-01
LN500134,BOR100134,2024-02-24,PA,2024Q1,32940.0,48,0.166,Home Improvement,Online,Current,19830.36,0,False,False,2025-12-01
LN500135,BOR100135,2025-03-04,PA,2025Q1,7970.0,24,0.0951,Debt Consolidation,Online,Current,4831.52,0,False,False,2025-12-01
LN500136,BOR100136,2025-07-14,TN,2025Q3,15340.0,36,0.1071,Major Purchase,Online,Current,13111.59,0,False,False,2025-12-01
LN500137,BOR100137,2025-04-04,LA,2025Q2,14680.0,36,0.1855,Home Improvement,Branch,Current,11731.69,0,False,False,2025-12-01
LN500138,BOR100138,2024-09-26,PA,2024Q3,6030.0,48,0.1638,Other,Branch,Current,4437.01,0,False,False,2025-12-01
LN500139,BOR100139,2024-06-11,GA,2024Q2,20220.0,48,0.1386,Debt Consolidation,Broker,Current,13515.75,0,False,False,2025-12-01
LN500140,BOR100140,2024-01-21,MN,2024Q1,24820.0,24,0.1715,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500141,BOR100141,2025-06-26,UT,2025Q2,9730.0,60,0.1725,Debt Consolidation,Online,Current,8975.24,0,False,False,2025-12-01
LN500142,BOR100142,2024-01-23,WA,2024Q1,14280.0,36,0.097,Other,Branch,Current,5226.45,0,False,False,2025-12-01
LN500143,BOR100143,2025-08-16,NY,2025Q3,9430.0,36,0.105,Home Improvement,Broker,Paid_Off,0.0,0,False,True,2025-12-01
LN500144,BOR100144,2025-11-06,CA,2025Q4,27250.0,36,0.1212,Debt Consolidation,Broker,Current,25980.77,0,False,False,2025-12-01
LN500145,BOR100145,2025-12-10,IL,2025Q4,5990.0,48,0.1853,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500146,BOR100146,2024-07-25,NY,2024Q3,5160.0,60,0.2698,Home Improvement,Broker,60DPD,4570.43,60,True,False,2025-12-01
LN500147,BOR100147,2024-06-25,MO,2024Q2,20780.0,60,0.1717,Debt Consolidation,Branch,Current,15993.53,0,False,False,2025-12-01
LN500148,BOR100148,2025-06-10,NY,2025Q2,18080.0,48,0.2013,Auto,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500149,BOR100149,2025-02-08,WA,2025Q1,19210.0,48,0.1792,Medical,Broker,Current,15929.49,0,False,False,2025-12-01
LN500150,BOR100150,2024-06-15,MD,2024Q2,16130.0,36,0.22,Home Improvement,Broker,Current,8927.9,0,False,False,2025-12-01
LN500151,BOR100151,2025-12-01,MA,2025Q4,23050.0,36,0.1559,Debt Consolidation,Broker,Current,22543.75,0,False,False,2025-12-01
LN500152,BOR100152,2024-12-18,PA,2024Q4,14390.0,36,0.2187,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-10-01
LN500153,BOR100153,2025-06-10,NV,2025Q2,11750.0,36,0.2366,Debt Consolidation,Branch,Default,11721.68,120,True,True,2025-12-01
LN500154,BOR100154,2024-08-25,MD,2024Q3,37300.0,48,0.0883,Home Improvement,Branch,Current,25561.72,0,False,False,2025-12-01
LN500155,BOR100155,2024-08-18,WI,2024Q3,17320.0,48,0.2242,Debt Consolidation,Online,Current,12845.54,0,False,False,2025-12-01
LN500156,BOR100156,2025-12-08,NY,2025Q4,11670.0,36,0.1361,Debt Consolidation,Branch,Current,11405.71,0,False,False,2025-12-01
LN500157,BOR100157,2024-02-25,NY,2024Q1,13240.0,48,0.1214,Major Purchase,Online,Current,7687.58,0,False,False,2025-12-01
LN500158,BOR100158,2024-11-21,MS,2024Q4,8170.0,60,0.1123,Other,Broker,Current,6650.13,0,False,False,2025-12-01
LN500159,BOR100159,2025-12-17,MI,2025Q4,28860.0,48,0.1182,Debt Consolidation,Broker,Current,28386.82,0,False,False,2025-12-01
LN500160,BOR100160,2025-12-16,GA,2025Q4,8460.0,36,0.1497,Major Purchase,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500161,BOR100161,2025-04-16,WA,2025Q2,14150.0,48,0.1151,Auto,Online,Current,11965.97,0,False,False,2025-12-01
LN500162,BOR100162,2024-02-06,IN,2024Q1,17150.0,36,0.107,Auto,Partner,Current,6833.27,0,False,False,2025-12-01
LN500163,BOR100163,2025-08-20,UT,2025Q3,5560.0,48,0.1509,Debt Consolidation,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500164,BOR100164,2024-06-08,GA,2024Q2,12040.0,36,0.2585,Other,Branch,60DPD,8139.43,60,True,False,2025-11-01
LN500165,BOR100165,2024-02-06,MS,2024Q1,14350.0,36,0.2031,Debt Consolidation,Branch,90DPD,9488.68,90,True,False,2025-08-01
LN500166,BOR100166,2025-03-25,CA,2025Q1,9880.0,48,0.1608,Other,Partner,Current,8307.3,0,False,False,2025-12-01
LN500167,BOR100167,2025-02-24,AZ,2025Q1,11560.0,24,0.2203,Medical,Online,Current,6881.97,0,False,False,2025-12-01
LN500168,BOR100168,2024-07-02,TN,2024Q3,19120.0,48,0.0801,Major Purchase,Branch,Current,12654.69,0,False,False,2025-12-01
LN500169,BOR100169,2025-11-16,FL,2025Q4,25310.0,60,0.1662,Debt Consolidation,Online,Current,24759.58,0,False,False,2025-12-01
LN500170,BOR100170,2025-03-10,NY,2025Q1,16370.0,48,0.1347,Auto,Broker,Current,13642.69,0,False,False,2025-12-01
LN500171,BOR100171,2025-04-15,NJ,2025Q2,6290.0,48,0.1122,Major Purchase,Online,Current,5314.22,0,False,False,2025-12-01
LN500172,BOR100172,2024-04-24,UT,2024Q2,10530.0,24,0.1654,Other,Broker,Paid_Off,0.0,0,False,True,2024-08-01
LN500173,BOR100173,2024-10-18,TN,2024Q4,10130.0,24,0.1721,Debt Consolidation,Online,Current,4209.33,0,False,False,2025-12-01
LN500174,BOR100174,2025-02-13,MS,2025Q1,7580.0,60,0.1199,Auto,Online,Paid_Off,0.0,0,False,True,2025-07-01
LN500175,BOR100175,2024-08-03,NV,2024Q3,6770.0,48,0.2323,Debt Consolidation,Online,Default,5942.4,120,True,True,2025-11-01
LN500176,BOR100176,2025-03-06,VA,2025Q1,15640.0,24,0.1801,Medical,Branch,Paid_Off,0.0,0,False,True,2025-10-01
LN500177,BOR100177,2024-03-18,MN,2024Q1,10300.0,36,0.1281,Medical,Online,Current,4478.56,0,False,False,2025-12-01
LN500178,BOR100178,2025-05-13,CA,2025Q2,19820.0,60,0.1663,Medical,Branch,Current,18022.89,0,False,False,2025-12-01
LN500179,BOR100179,2024-01-04,FL,2024Q1,24660.0,60,0.0841,Debt Consolidation,Online,Current,16014.4,0,False,False,2025-12-01
LN500180,BOR100180,2025-07-03,NV,2025Q3,4710.0,36,0.2579,Debt Consolidation,Online,Current,4152.71,0,False,False,2025-12-01
LN500181,BOR100181,2024-09-14,MN,2024Q3,36160.0,36,0.2183,Medical,Online,30DPD,32214.39,30,True,False,2025-03-01
LN500182,BOR100182,2025-11-19,IL,2025Q4,18760.0,36,0.1017,Debt Consolidation,Branch,Paid_Off,0.0,0,False,True,2025-12-01
LN500183,BOR100183,2025-02-23,AZ,2025Q1,18670.0,24,0.1126,Home Improvement,Online,Current,10630.28,0,False,False,2025-12-01
LN500184,BOR100184,2024-09-23,TN,2024Q3,18790.0,48,0.1681,Auto,Branch,Current,13858.29,0,False,False,2025-12-01
LN500185,BOR100185,2025-10-04,LA,2025Q4,12980.0,36,0.1417,Auto,Online,60DPD,12990.0,60,True,False,2025-12-01
LN500186,BOR100186,2025-03-01,TN,2025Q1,7270.0,24,0.1063,Medical,Online,Current,4426.59,0,False,False,2025-12-01
LN500187,BOR100187,2025-12-11,NJ,2025Q4,13100.0,24,0.2042,Major Purchase,Online,Current,12653.49,0,False,False,2025-12-01
LN500188,BOR100188,2024-04-04,MI,2024Q2,3370.0,48,0.193,Home Improvement,Online,Paid_Off,0.0,0,False,True,2025-12-01
LN500189,BOR100189,2024-03-18,NJ,2024Q1,33240.0,48,0.1361,Medical,Branch,Current,20208.6,0,False,False,2025-12-01
LN500190,BOR100190,2025-12-17,IN,2025Q4,9790.0,48,0.1097,Other,Broker,Current,9626.61,0,False,False,2025-12-01
LN500191,BOR100191,2024-07-18,LA,2024Q3,15830.0,24,0.2153,Auto,Branch,90DPD,9236.14,90,True,False,2025-09-01
LN500192,BOR100192,2025-06-13,NJ,2025Q2,7060.0,24,0.1672,Medical,Online,Paid_Off,0.0,0,False,True,2025-10-01
LN500193,BOR100193,2024-01-05,OH,2024Q1,25630.0,60,0.1707,Home Improvement,Branch,Current,17875.5,0,False,False,2025-12-01
